date,rain
16/11/2013,0
17/11/2013,0
18/11/2013,0
19/11/2013,0
20/11/2013,0
21/11/2013,0
22/11/2013,0
23/11/2013,0
24/11/2013,0
25/11/2013,0
26/11/2013,0
27/11/2013,0
28/11/2013,0
29/11/2013,0
30/11/2013,0
1/12/2013,0
2/12/2013,0
3/12/2013,0
4/12/2013,0
5/12/2013,0
6/12/2013,0
7/12/2013,0
8/12/2013,0
9/12/2013,0
10/12/2013,0
11/12/2013,0
12/12/2013,0
13/12/2013,0
14/12/2013,0
15/12/2013,0
16/12/2013,0
17/12/2013,0
18/12/2013,0
19/12/2013,0
20/12/2013,0
21/12/2013,0
22/12/2013,0
23/12/2013,0
24/12/2013,0
25/12/2013,0
26/12/2013,0
27/12/2013,0
28/12/2013,0
29/12/2013,0
30/12/2013,0
31/12/2013,0
1/1/2014,0
2/1/2014,0
3/1/2014,0
4/1/2014,0
5/1/2014,0
6/1/2014,0
7/1/2014,0
8/1/2014,0
9/1/2014,0
10/1/2014,0
11/1/2014,0
12/1/2014,0
13/01/2014,0
14/01/2014,0
15/01/2014,0
16/01/2014,0
17/01/2014,0
18/01/2014,0
19/01/2014,0
20/01/2014,0
21/01/2014,0
22/01/2014,0
23/01/2014,0
24/01/2014,0
25/01/2014,0
26/01/2014,0
27/01/2014,0
28/01/2014,0
29/01/2014,0
30/01/2014,0
31/01/2014,0
1/2/2014,0
2/2/2014,0
3/2/2014,0
4/2/2014,0
5/2/2014,0
6/2/2014,0
7/2/2014,0
8/2/2014,0
9/2/2014,0
10/2/2014,0
11/2/2014,0
12/2/2014,0
13/02/2014,0
14/02/2014,0
15/02/2014,0
16/02/2014,0
17/02/2014,0
18/02/2014,0
19/02/2014,0
20/02/2014,0
21/02/2014,0
22/02/2014,0
23/02/2014,0
24/02/2014,0
25/02/2014,0
26/02/2014,0
27/02/2014,0
28/02/2014,0
1/3/2014,0
2/3/2014,0
3/3/2014,0
4/3/2014,0
5/3/2014,0
6/3/2014,0
7/3/2014,0
8/3/2014,0
9/3/2014,0
10/3/2014,0
11/3/2014,0
12/3/2014,0
13/03/2014,0
14/03/2014,0
15/03/2014,0
16/03/2014,0
17/03/2014,3.6
18/03/2014,0
19/03/2014,0
20/03/2014,0
21/03/2014,0
22/03/2014,0
23/03/2014,0
24/03/2014,0
25/03/2014,0
26/03/2014,0
27/03/2014,0
28/03/2014,0
29/03/2014,0
30/03/2014,0
31/03/2014,0
1/4/2014,0
2/4/2014,0
3/4/2014,0
4/4/2014,0
5/4/2014,0
6/4/2014,0.2
7/4/2014,0
8/4/2014,0
9/4/2014,0
10/4/2014,0
11/4/2014,1
12/4/2014,0
13/04/2014,2
14/04/2014,0
15/04/2014,1.6
16/04/2014,3.7
17/04/2014,0
18/04/2014,2.5
19/04/2014,0
20/04/2014,48.3
21/04/2014,0
22/04/2014,0
23/04/2014,0
24/04/2014,1.9
25/04/2014,0
26/04/2014,4.9
27/04/2014,0
28/04/2014,0
29/04/2014,0
30/04/2014,24.7
1/5/2014,0.6
2/5/2014,0
3/5/2014,4.8
4/5/2014,0
5/5/2014,6.4
6/5/2014,1.2
7/5/2014,3.8
8/5/2014,0
9/5/2014,0
10/5/2014,0
11/5/2014,0
12/5/2014,0
13/05/2014,15.3
14/05/2014,0
15/05/2014,0
16/05/2014,0
17/05/2014,0
18/05/2014,0.6
19/05/2014,0
20/05/2014,0
21/05/2014,0
22/05/2014,17.5
23/05/2014,11.4
24/05/2014,0
25/05/2014,47.8
26/05/2014,0.6
27/05/2014,53.3
28/05/2014,10.4
29/05/2014,4
30/05/2014,0
31/05/2014,5.6
1/6/2014,0
2/6/2014,0
3/6/2014,0
4/6/2014,0
5/6/2014,36.2
6/6/2014,2.3
7/6/2014,0
8/6/2014,0.7
9/6/2014,0
10/6/2014,0
11/6/2014,0
12/6/2014,0
13/06/2014,13.2
14/06/2014,34.2
15/06/2014,13.8
16/06/2014,0
17/06/2014,4.2
18/06/2014,12.2
19/06/2014,0
20/06/2014,0
21/06/2014,0
22/06/2014,6.7
23/06/2014,1.2
24/06/2014,9.2
25/06/2014,19.8
26/06/2014,29.2
27/06/2014,25.6
28/06/2014,6.4
29/06/2014,0
30/06/2014,15.2
1/7/2014,0.7
2/7/2014,0
3/7/2014,29.4
4/7/2014,0
5/7/2014,0
6/7/2014,11.2
7/7/2014,1.8
8/7/2014,25.1
9/7/2014,0.4
10/7/2014,0
11/7/2014,0
12/7/2014,11.9
13/07/2014,0
14/07/2014,0
15/07/2014,0
16/07/2014,10.6
17/07/2014,0
18/07/2014,0
19/07/2014,0.3
20/07/2014,0
21/07/2014,0
22/07/2014,0
23/07/2014,0
24/07/2014,1.8
25/07/2014,0
26/07/2014,0
27/07/2014,53.2
28/07/2014,36.8
29/07/2014,0
30/07/2014,0
31/07/2014,0.3
1/8/2014,45.8
2/8/2014,2.6
3/8/2014,4.3
4/8/2014,0
5/8/2014,26.3
6/8/2014,5.2
7/8/2014,60
8/8/2014,0
9/8/2014,0
10/8/2014,0
11/8/2014,28.8
12/8/2014,7.7
13/08/2014,0.5
14/08/2014,1.1
15/08/2014,16.8
16/08/2014,2.4
17/08/2014,30
18/08/2014,4.7
19/08/2014,37.6
20/08/2014,12.2
21/08/2014,72.6
22/08/2014,33.8
23/08/2014,1.6
24/08/2014,0
25/08/2014,40.1
26/08/2014,0
27/08/2014,0
28/08/2014,0
29/08/2014,9.3
30/08/2014,10.5
31/08/2014,92.9
1/9/2014,0
2/9/2014,18.2
3/9/2014,0.8
4/9/2014,25.4
5/9/2014,2.3
6/9/2014,1.8
7/9/2014,17.3
8/9/2014,0
9/9/2014,62.9
10/9/2014,24.8
11/9/2014,4.2
12/9/2014,5.2
13/09/2014,0
14/09/2014,0
15/09/2014,7.7
16/09/2014,0
17/09/2014,0
18/09/2014,9.1
19/09/2014,3.1
20/09/2014,13.2
21/09/2014,28.4
22/09/2014,15.6
23/09/2014,0
24/09/2014,0
25/09/2014,11.3
26/09/2014,0
27/09/2014,3.4
28/09/2014,0
29/09/2014,65.7
30/09/2014,33.9
1/10/2014,24.4
2/10/2014,1.3
3/10/2014,0
4/10/2014,0
5/10/2014,0
6/10/2014,0
7/10/2014,0
8/10/2014,0
9/10/2014,0
10/10/2014,29.9
11/10/2014,0
12/10/2014,0
13/10/2014,0
14/10/2014,0
15/10/2014,0
16/10/2014,0
17/10/2014,0
18/10/2014,10.9
19/10/2014,0
20/10/2014,0
21/10/2014,0
22/10/2014,0
23/10/2014,0
24/10/2014,0
25/10/2014,0
26/10/2014,0
27/10/2014,0
28/10/2014,0
29/10/2014,0
30/10/2014,0
31/10/2014,0
1/11/2014,0
2/11/2014,0
3/11/2014,0
4/11/2014,0
5/11/2014,0
6/11/2014,0
7/11/2014,0
8/11/2014,0
9/11/2014,0
10/11/2014,0
